"Código","Unidade Territorial","UF","Referência","Quantidade de famílias do Cadastro Único em situação de trabalho infantil","Quantidade de pessoas do Cadastro Único em situação de trabalho infantil"
"210005","AÇAILÂNDIA","MA","07/2016","92","125"
"210005","AÇAILÂNDIA","MA","04/2022","3","3"
"210005","AÇAILÂNDIA","MA","10/2022","2","2"
"210005","AÇAILÂNDIA","MA","05/2022","3","3"
"210005","AÇAILÂNDIA","MA","06/2022","3","3"
"210005","AÇAILÂNDIA","MA","03/2023","0",""
"210005","AÇAILÂNDIA","MA","04/2023","0",""
"210005","AÇAILÂNDIA","MA","01/2023","1","1"
"210005","AÇAILÂNDIA","MA","05/2023","0",""
"210005","AÇAILÂNDIA","MA","02/2023","0",""
"210005","AÇAILÂNDIA","MA","09/2023","1","1"
"210005","AÇAILÂNDIA","MA","09/2022","2","2"
"210005","AÇAILÂNDIA","MA","02/2024","1","1"
"210005","AÇAILÂNDIA","MA","03/2024","2","2"
"210005","AÇAILÂNDIA","MA","04/2024","2","2"
"210005","AÇAILÂNDIA","MA","06/2024","1","1"
"210005","AÇAILÂNDIA","MA","07/2024","1","1"
"210005","AÇAILÂNDIA","MA","08/2024","1","1"
"210005","AÇAILÂNDIA","MA","09/2024","1","1"
"210005","AÇAILÂNDIA","MA","05/2024","1","1"
"210005","AÇAILÂNDIA","MA","10/2024","1","1"
"210005","AÇAILÂNDIA","MA","11/2024","1","1"
"210005","AÇAILÂNDIA","MA","12/2024","1","1"
"210005","AÇAILÂNDIA","MA","01/2025","1","1"
"210005","AÇAILÂNDIA","MA","02/2025","1","1"
"210005","AÇAILÂNDIA","MA","03/2025","1","1"
"210005","AÇAILÂNDIA","MA","05/2025","1","1"
"210005","AÇAILÂNDIA","MA","06/2025","2","2"
"210005","AÇAILÂNDIA","MA","07/2025","2","2"
"210005","AÇAILÂNDIA","MA","08/2025","2","2"
"210005","AÇAILÂNDIA","MA","09/2025","2","2"
"210005","AÇAILÂNDIA","MA","10/2025","1","1"
"210005","AÇAILÂNDIA","MA","11/2025","1","1"
"210005","AÇAILÂNDIA","MA","08/2019","9","10"
"210005","AÇAILÂNDIA","MA","03/2019","12","16"
"210005","AÇAILÂNDIA","MA","07/2019","10","11"
"210005","AÇAILÂNDIA","MA","12/2019","9","10"
"210005","AÇAILÂNDIA","MA","02/2019","13","17"
"210005","AÇAILÂNDIA","MA","06/2019","10","11"
"210005","AÇAILÂNDIA","MA","11/2019","9","10"
"210005","AÇAILÂNDIA","MA","10/2019","9","10"
"210005","AÇAILÂNDIA","MA","09/2019","9","10"
"210005","AÇAILÂNDIA","MA","01/2019","13","17"
"210005","AÇAILÂNDIA","MA","05/2019","9","10"
"210005","AÇAILÂNDIA","MA","10/2018","15","18"
"210005","AÇAILÂNDIA","MA","09/2018","19","26"
"210005","AÇAILÂNDIA","MA","06/2018","21","28"
"210005","AÇAILÂNDIA","MA","05/2018","23","32"
"210005","AÇAILÂNDIA","MA","12/2018","14","18"
"210005","AÇAILÂNDIA","MA","11/2018","14","17"
"210005","AÇAILÂNDIA","MA","02/2018","27","39"
"210005","AÇAILÂNDIA","MA","08/2018","19","26"
"210005","AÇAILÂNDIA","MA","04/2018","26","36"
"210005","AÇAILÂNDIA","MA","01/2018","28","40"
"210005","AÇAILÂNDIA","MA","07/2018","20","27"
"210005","AÇAILÂNDIA","MA","03/2018","27","37"
"210005","AÇAILÂNDIA","MA","07/2017","39","55"
"210005","AÇAILÂNDIA","MA","03/2017","53","72"
"210005","AÇAILÂNDIA","MA","02/2017","57","77"
"210005","AÇAILÂNDIA","MA","12/2017","28","40"
"210005","AÇAILÂNDIA","MA","08/2017","36","53"
"210005","AÇAILÂNDIA","MA","10/2017","27","39"
"210005","AÇAILÂNDIA","MA","11/2017","27","39"
"210005","AÇAILÂNDIA","MA","06/2017","42","58"
"210005","AÇAILÂNDIA","MA","01/2017","57","78"
"210005","AÇAILÂNDIA","MA","05/2017","49","66"
"210005","AÇAILÂNDIA","MA","09/2017","30","46"
"210005","AÇAILÂNDIA","MA","04/2017","49","67"
"210005","AÇAILÂNDIA","MA","03/2016","113","158"
"210005","AÇAILÂNDIA","MA","02/2016","116","161"
"210005","AÇAILÂNDIA","MA","10/2016","75","103"
"210005","AÇAILÂNDIA","MA","06/2016","103","140"
"210005","AÇAILÂNDIA","MA","05/2016","106","146"
"210005","AÇAILÂNDIA","MA","04/2019","11","13"
"210005","AÇAILÂNDIA","MA","09/2016","78","106"
"210005","AÇAILÂNDIA","MA","04/2016","111","153"
"210005","AÇAILÂNDIA","MA","01/2016","117","163"
"210005","AÇAILÂNDIA","MA","12/2016","60","83"
"210005","AÇAILÂNDIA","MA","08/2016","84","115"
"210005","AÇAILÂNDIA","MA","11/2016","71","96"
"210005","AÇAILÂNDIA","MA","06/2015","153","216"
"210005","AÇAILÂNDIA","MA","05/2015","156","219"
"210005","AÇAILÂNDIA","MA","12/2015","120","167"
"210005","AÇAILÂNDIA","MA","04/2015","161","226"
"210005","AÇAILÂNDIA","MA","01/2015","172","245"
"210005","AÇAILÂNDIA","MA","10/2015","126","178"
"210005","AÇAILÂNDIA","MA","03/2015","166","232"
"210005","AÇAILÂNDIA","MA","02/2015","170","241"
"210005","AÇAILÂNDIA","MA","09/2015","133","187"
"210005","AÇAILÂNDIA","MA","08/2015","140","198"
"210005","AÇAILÂNDIA","MA","07/2015","144","203"
"210005","AÇAILÂNDIA","MA","11/2015","125","174"
"210005","AÇAILÂNDIA","MA","01/2014","266","403"
"210005","AÇAILÂNDIA","MA","02/2022","2","2"
"210005","AÇAILÂNDIA","MA","01/2022","3","3"
"210005","AÇAILÂNDIA","MA","12/2022","1","1"
"210005","AÇAILÂNDIA","MA","11/2022","2","2"
"210005","AÇAILÂNDIA","MA","08/2022","3","3"
"210005","AÇAILÂNDIA","MA","03/2022","3","3"
"210005","AÇAILÂNDIA","MA","07/2022","3","3"
"210005","AÇAILÂNDIA","MA","05/2021","1","1"
"210005","AÇAILÂNDIA","MA","10/2021","1","1"
"210005","AÇAILÂNDIA","MA","09/2021","1","1"
"210005","AÇAILÂNDIA","MA","01/2021","2","2"
"210005","AÇAILÂNDIA","MA","02/2021","2","2"
"210005","AÇAILÂNDIA","MA","04/2021","1","1"
"210005","AÇAILÂNDIA","MA","03/2021","2","2"
"210005","AÇAILÂNDIA","MA","12/2021","3","3"
"210005","AÇAILÂNDIA","MA","11/2021","3","3"
"210005","AÇAILÂNDIA","MA","08/2021","1","1"
"210005","AÇAILÂNDIA","MA","07/2021","1","1"
"210005","AÇAILÂNDIA","MA","06/2021","1","1"
"210005","AÇAILÂNDIA","MA","08/2020","5","6"
"210005","AÇAILÂNDIA","MA","07/2020","6","7"
"210005","AÇAILÂNDIA","MA","04/2020","7","8"
"210005","AÇAILÂNDIA","MA","11/2020","2","2"
"210005","AÇAILÂNDIA","MA","09/2020","4","5"
"210005","AÇAILÂNDIA","MA","05/2020","7","8"
"210005","AÇAILÂNDIA","MA","06/2020","6","7"
"210005","AÇAILÂNDIA","MA","01/2020","8","9"
"210005","AÇAILÂNDIA","MA","03/2020","7","8"
"210005","AÇAILÂNDIA","MA","02/2020","8","9"
"210005","AÇAILÂNDIA","MA","12/2020","2","2"
"210005","AÇAILÂNDIA","MA","10/2020","3","3"
"210005","AÇAILÂNDIA","MA","04/2014","238","357"
"210005","AÇAILÂNDIA","MA","05/2014","225","336"
"210005","AÇAILÂNDIA","MA","06/2014","214","319"
"210005","AÇAILÂNDIA","MA","03/2014","251","375"
"210005","AÇAILÂNDIA","MA","02/2014","260","394"
"210005","AÇAILÂNDIA","MA","07/2014","207","306"
"210005","AÇAILÂNDIA","MA","08/2014","201","294"
"210005","AÇAILÂNDIA","MA","09/2014","194","281"
"210005","AÇAILÂNDIA","MA","12/2014","180","258"
"210005","AÇAILÂNDIA","MA","10/2014","189","273"
"210005","AÇAILÂNDIA","MA","11/2014","186","266"
"210005","AÇAILÂNDIA","MA","01/2013","372","581"
"210005","AÇAILÂNDIA","MA","02/2013","367","569"
"210005","AÇAILÂNDIA","MA","03/2013","361","557"
"210005","AÇAILÂNDIA","MA","04/2013","343","529"
"210005","AÇAILÂNDIA","MA","05/2013","328","506"
"210005","AÇAILÂNDIA","MA","06/2013","317","488"
"210005","AÇAILÂNDIA","MA","07/2013","312","478"
"210005","AÇAILÂNDIA","MA","09/2013","296","455"
"210005","AÇAILÂNDIA","MA","08/2013","305","472"
"210005","AÇAILÂNDIA","MA","12/2013","274","418"
"210005","AÇAILÂNDIA","MA","10/2013","288","443"
"210005","AÇAILÂNDIA","MA","11/2013","280","428"
"210005","AÇAILÂNDIA","MA","12/2012","384","600"
"210010","AFONSO CUNHA","MA","05/2025","1","1"
"210010","AFONSO CUNHA","MA","11/2013","224","336"
"210010","AFONSO CUNHA","MA","10/2013","226","340"
"210010","AFONSO CUNHA","MA","12/2013","225","333"
"210010","AFONSO CUNHA","MA","08/2013","226","341"
"210010","AFONSO CUNHA","MA","09/2013","222","335"
"210010","AFONSO CUNHA","MA","07/2013","233","349"
"210010","AFONSO CUNHA","MA","05/2013","234","347"
"210010","AFONSO CUNHA","MA","04/2013","220","324"
"210010","AFONSO CUNHA","MA","03/2013","215","321"
"210010","AFONSO CUNHA","MA","02/2013","216","327"
"210010","AFONSO CUNHA","MA","01/2013","218","331"
"210010","AFONSO CUNHA","MA","06/2013","235","355"
"210010","AFONSO CUNHA","MA","11/2014","239","343"
"210010","AFONSO CUNHA","MA","10/2014","240","346"
"210010","AFONSO CUNHA","MA","12/2014","234","333"
"210010","AFONSO CUNHA","MA","09/2014","241","347"
"210010","AFONSO CUNHA","MA","08/2014","230","331"
"210010","AFONSO CUNHA","MA","07/2014","240","347"
"210010","AFONSO CUNHA","MA","02/2014","229","338"
"210010","AFONSO CUNHA","MA","03/2014","235","345"
"210010","AFONSO CUNHA","MA","06/2014","234","343"
"210010","AFONSO CUNHA","MA","05/2014","232","340"
"210010","AFONSO CUNHA","MA","04/2014","237","348"
"210010","AFONSO CUNHA","MA","01/2014","227","332"
"210010","AFONSO CUNHA","MA","02/2015","218","304"
"210010","AFONSO CUNHA","MA","07/2015","186","247"
"210010","AFONSO CUNHA","MA","08/2015","177","232"
"210010","AFONSO CUNHA","MA","12/2015","163","212"
"210010","AFONSO CUNHA","MA","03/2015","211","292"
"210010","AFONSO CUNHA","MA","11/2015","165","215"
"210010","AFONSO CUNHA","MA","04/2015","209","290"
"210010","AFONSO CUNHA","MA","06/2015","192","263"
"210010","AFONSO CUNHA","MA","01/2015","225","315"
"210010","AFONSO CUNHA","MA","10/2015","169","220"
"210010","AFONSO CUNHA","MA","05/2015","201","280"
"210010","AFONSO CUNHA","MA","09/2015","171","224"
"210010","AFONSO CUNHA","MA","11/2016","107","130"
"210010","AFONSO CUNHA","MA","02/2016","156","203"
"210010","AFONSO CUNHA","MA","08/2016","116","144"
"210010","AFONSO CUNHA","MA","03/2016","146","189"
"210010","AFONSO CUNHA","MA","12/2016","102","124"
"210010","AFONSO CUNHA","MA","01/2016","161","209"
"210010","AFONSO CUNHA","MA","04/2016","141","180"
"210010","AFONSO CUNHA","MA","07/2016","119","149"
"210010","AFONSO CUNHA","MA","05/2016","134","171"
"210010","AFONSO CUNHA","MA","09/2016","114","141"
"210010","AFONSO CUNHA","MA","06/2016","126","158"
"210010","AFONSO CUNHA","MA","10/2016","111","136"
"210010","AFONSO CUNHA","MA","04/2017","84","98"
"210010","AFONSO CUNHA","MA","08/2017","77","87"
"210010","AFONSO CUNHA","MA","09/2017","74","84"
"210010","AFONSO CUNHA","MA","05/2017","83","95"
"210010","AFONSO CUNHA","MA","03/2017","89","103"
"210010","AFONSO CUNHA","MA","01/2017","96","114"
"210010","AFONSO CUNHA","MA","06/2017","82","94"
"210010","AFONSO CUNHA","MA","11/2017","69","76"
"210010","AFONSO CUNHA","MA","10/2017","71","79"
"210010","AFONSO CUNHA","MA","12/2017","68","75"
"210010","AFONSO CUNHA","MA","02/2017","90","106"
"210010","AFONSO CUNHA","MA","12/2012","212","325"
"210010","AFONSO CUNHA","MA","07/2017","80","91"
"210010","AFONSO CUNHA","MA","07/2018","38","40"
"210010","AFONSO CUNHA","MA","11/2018","33","35"
"210010","AFONSO CUNHA","MA","12/2018","33","35"
"210010","AFONSO CUNHA","MA","01/2018","64","70"
"210010","AFONSO CUNHA","MA","04/2018","46","49"
"210010","AFONSO CUNHA","MA","03/2018","50","53"
"210010","AFONSO CUNHA","MA","08/2018","35","37"
"210010","AFONSO CUNHA","MA","02/2018","60","66"
"210010","AFONSO CUNHA","MA","05/2018","41","43"
"210010","AFONSO CUNHA","MA","06/2018","39","41"
"210010","AFONSO CUNHA","MA","09/2018","36","38"
"210010","AFONSO CUNHA","MA","10/2018","35","37"
"210010","AFONSO CUNHA","MA","05/2019","23","23"
"210010","AFONSO CUNHA","MA","01/2019","31","33"
"210010","AFONSO CUNHA","MA","09/2019","18","18"
"210010","AFONSO CUNHA","MA","10/2019","14","14"
"210010","AFONSO CUNHA","MA","11/2019","12","12"
"210010","AFONSO CUNHA","MA","06/2019","21","21"
"210010","AFONSO CUNHA","MA","02/2019","30","32"
"210010","AFONSO CUNHA","MA","12/2019","12","12"
"210010","AFONSO CUNHA","MA","03/2019","27","28"
"210010","AFONSO CUNHA","MA","04/2019","26","26"
"210010","AFONSO CUNHA","MA","07/2019","20","20"
"210010","AFONSO CUNHA","MA","08/2019","20","20"
"210010","AFONSO CUNHA","MA","05/2020","5","5"
"210010","AFONSO CUNHA","MA","09/2020","3","3"
"210010","AFONSO CUNHA","MA","10/2020","3","3"
"210010","AFONSO CUNHA","MA","12/2020","3","3"
"210010","AFONSO CUNHA","MA","02/2020","9","9"
"210010","AFONSO CUNHA","MA","03/2020","7","7"
"210010","AFONSO CUNHA","MA","01/2020","11","11"
"210010","AFONSO CUNHA","MA","06/2020","3","3"
"210010","AFONSO CUNHA","MA","11/2020","3","3"
"210010","AFONSO CUNHA","MA","04/2020","7","7"
"210010","AFONSO CUNHA","MA","07/2020","3","3"
"210010","AFONSO CUNHA","MA","08/2020","3","3"
"210010","AFONSO CUNHA","MA","06/2021","3","3"
"210010","AFONSO CUNHA","MA","07/2021","3","3"
"210010","AFONSO CUNHA","MA","08/2021","3","3"
"210010","AFONSO CUNHA","MA","11/2021","3","3"
"210010","AFONSO CUNHA","MA","12/2021","3","3"
"210010","AFONSO CUNHA","MA","01/2021","3","3"
"210010","AFONSO CUNHA","MA","03/2021","3","3"
"210010","AFONSO CUNHA","MA","04/2021","3","3"
"210010","AFONSO CUNHA","MA","02/2021","3","3"
"210010","AFONSO CUNHA","MA","10/2021","3","3"
"210010","AFONSO CUNHA","MA","05/2021","3","3"
"210010","AFONSO CUNHA","MA","09/2021","2","2"
"210010","AFONSO CUNHA","MA","07/2022","1","1"
"210010","AFONSO CUNHA","MA","03/2022","3","3"
"210010","AFONSO CUNHA","MA","08/2022","1","1"
"210010","AFONSO CUNHA","MA","11/2022","2","2"
"210010","AFONSO CUNHA","MA","12/2022","1","1"
"210010","AFONSO CUNHA","MA","01/2022","3","3"
"210010","AFONSO CUNHA","MA","02/2022","3","3"
"210010","AFONSO CUNHA","MA","09/2022","1","1"
"210010","AFONSO CUNHA","MA","04/2022","3","3"
"210010","AFONSO CUNHA","MA","10/2022","1","1"
"210010","AFONSO CUNHA","MA","05/2022","3","3"
"210010","AFONSO CUNHA","MA","06/2022","2","2"
"210010","AFONSO CUNHA","MA","02/2023","1","1"
"210010","AFONSO CUNHA","MA","03/2023","1","1"
"210010","AFONSO CUNHA","MA","06/2023","1","1"
"210010","AFONSO CUNHA","MA","01/2023","1","1"
"210010","AFONSO CUNHA","MA","07/2023","1","1"
"210010","AFONSO CUNHA","MA","08/2023","1","1"
"210010","AFONSO CUNHA","MA","04/2023","1","1"
"210010","AFONSO CUNHA","MA","09/2023","1","1"
"210010","AFONSO CUNHA","MA","10/2023","1","1"
"210010","AFONSO CUNHA","MA","11/2023","1","1"
"210010","AFONSO CUNHA","MA","12/2023","1","1"
"210010","AFONSO CUNHA","MA","05/2023","1","1"
"210010","AFONSO CUNHA","MA","03/2024","1","1"
"210010","AFONSO CUNHA","MA","01/2024","1","1"
"210010","AFONSO CUNHA","MA","04/2024","1","1"
"210010","AFONSO CUNHA","MA","06/2024","2","2"
"210010","AFONSO CUNHA","MA","07/2024","2","2"
"210010","AFONSO CUNHA","MA","08/2024","2","2"
"210010","AFONSO CUNHA","MA","09/2024","1","1"
"210010","AFONSO CUNHA","MA","05/2024","2","2"
"210010","AFONSO CUNHA","MA","10/2024","1","1"
"210010","AFONSO CUNHA","MA","11/2024","1","1"
"210010","AFONSO CUNHA","MA","12/2024","1","1"
"210010","AFONSO CUNHA","MA","02/2024","1","1"
"210010","AFONSO CUNHA","MA","01/2025","1","1"
"210010","AFONSO CUNHA","MA","02/2025","1","1"
"210010","AFONSO CUNHA","MA","03/2025","1","1"
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2023","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2023","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2023","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2023","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2023","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2022","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2021","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2012","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2013","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2014","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2015","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2016","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2017","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2018","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","07/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","08/2019","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","05/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","09/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","10/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","12/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","02/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","03/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","01/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","06/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","11/2020","0",""
"210015","ÁGUA DOCE DO MARANHÃO","MA","04/2020","0",""
"210020","ALCÂNTARA","MA","06/2018","2","2"
"210020","ALCÂNTARA","MA","09/2024","1","1"
"210020","ALCÂNTARA","MA","08/2024","1","1"
"210020","ALCÂNTARA","MA","07/2024","1","1"
"210020","ALCÂNTARA","MA","06/2024","1","1"
"210020","ALCÂNTARA","MA","04/2024","1","1"
"210020","ALCÂNTARA","MA","03/2024","1","1"
"210020","ALCÂNTARA","MA","04/2016","9","9"
"210020","ALCÂNTARA","MA","09/2016","7","7"
"210020","ALCÂNTARA","MA","05/2016","9","9"
"210020","ALCÂNTARA","MA","10/2016","7","7"
"210020","ALCÂNTARA","MA","06/2016","9","9"
"210020","ALCÂNTARA","MA","04/2017","3","3"
"210020","ALCÂNTARA","MA","08/2017","2","2"
"210020","ALCÂNTARA","MA","09/2017","2","2"
"210020","ALCÂNTARA","MA","02/2017","4","4"
"210020","ALCÂNTARA","MA","05/2017","3","3"
"210020","ALCÂNTARA","MA","03/2017","3","3"
"210020","ALCÂNTARA","MA","01/2017","5","5"
"210020","ALCÂNTARA","MA","11/2017","2","2"
"210020","ALCÂNTARA","MA","10/2017","2","2"
"210020","ALCÂNTARA","MA","06/2017","2","2"
"210020","ALCÂNTARA","MA","07/2017","2","2"
"210020","ALCÂNTARA","MA","12/2017","2","2"
"210020","ALCÂNTARA","MA","03/2018","2","2"
"210020","ALCÂNTARA","MA","07/2018","1","1"
"210020","ALCÂNTARA","MA","11/2018","0",""
"210020","ALCÂNTARA","MA","12/2018","0",""
"210020","ALCÂNTARA","MA","01/2018","2","2"
"210020","ALCÂNTARA","MA","04/2018","2","2"
"210020","ALCÂNTARA","MA","08/2018","1","1"
"210020","ALCÂNTARA","MA","02/2018","2","2"
"210020","ALCÂNTARA","MA","05/2018","2","2"
"210020","ALCÂNTARA","MA","09/2018","0",""
"210020","ALCÂNTARA","MA","10/2018","0",""
