"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias do Auxílio Gás","Valor Total Repassado às famílias beneficiárias do Auxílio Gás","Valor Médio do Benefício Auxílio Gás","Pessoas beneficiárias do Auxílio Gás","Responsáveis Familiares do sexo Feminino beneficiárias do Auxílio Gás","Percentual de Responsáveis Familiares do sexo Feminino"
"210130","BACURI","MA","06/2022","1038","55014","53,00","3357","922","88,8"
"210130","BACURI","MA","08/2022","1032","113520","110,00","3313","917","88,9"
"210130","BACURI","MA","10/2022","1030","115360","112,00","3272","916","88,9"
"210130","BACURI","MA","12/2022","1026","114912","112,00","3237","911","88,8"
"210130","BACURI","MA","02/2023","1027","115024","112,00","3239","913","88,9"
"210130","BACURI","MA","04/2023","1009","110990","110,00","3191","900","89,2"
"210130","BACURI","MA","06/2023","1009","109981","109,00","3205","900","89,2"
"210130","BACURI","MA","08/2023","993","107244,00","108,00","3174","888","89,4"
"210130","BACURI","MA","10/2023","973","103138","106,00","3135","877","90,1"
"210130","BACURI","MA","12/2023","962","100048","104,00","3108","867","90,1"
"210130","BACURI","MA","02/2024","952","97104,00","102,00","3071","858","90,1"
"210130","BACURI","MA","04/2024","946","96492","102,00","3055","854","90,3"
"210130","BACURI","MA","06/2024","945","96390","102,00","3048","855","90,5"
"210130","BACURI","MA","08/2024","918","93636","102,00","2975","834","90,8"
"210130","BACURI","MA","10/2024","898","93392","104,00","2929","817","91,0"
"210130","BACURI","MA","12/2024","896","93184","104,00","2929","817","91,2"
"210130","BACURI","MA","02/2025","895","94870","106,00","2915","814","90,9"
"210130","BACURI","MA","04/2025","892","96336","108,00","2903","812","91,0"
"210130","BACURI","MA","06/2025","886","95688","108,00","2894","807","91,1"
"210130","BACURI","MA","08/2025","845","91260","108,00","2765","773","91,5"
"210130","BACURI","MA","10/2025","837","90396","108,00","2742","767","91,6"
"210135","BACURITUBA","MA","12/2021","371","19292","52,00","1373","306","82,5"
"210135","BACURITUBA","MA","02/2022","373","18650","50,00","1378","306","82,0"
"210135","BACURITUBA","MA","04/2022","370","18870","51,00","1358","305","82,4"
"210135","BACURITUBA","MA","06/2022","376","19928","53,00","1369","310","82,4"
"210135","BACURITUBA","MA","08/2022","375","41250","110,00","1317","309","82,4"
"210135","BACURITUBA","MA","10/2022","377","42224","112,00","1306","311","82,5"
