"Código","Unidade Territorial","UF","Referência","Famílias Beneficiárias do Auxílio Gás","Valor Total Repassado às famílias beneficiárias do Auxílio Gás","Valor Médio do Benefício Auxílio Gás","Pessoas beneficiárias do Auxílio Gás","Responsáveis Familiares do sexo Feminino beneficiárias do Auxílio Gás","Percentual de Responsáveis Familiares do sexo Feminino"
"210360","COROATÁ","MA","12/2021","2543","132236","52,00","9827","2346","92,3"
"210360","COROATÁ","MA","02/2022","2533","126650","50,00","9830","2343","92,5"
"210360","COROATÁ","MA","04/2022","2476","126276","51,00","9624","2292","92,6"
"210360","COROATÁ","MA","06/2022","2449","129797","53,00","9418","2263","92,4"
"210360","COROATÁ","MA","08/2022","2397","263670","110,00","9143","2213","92,3"
"210360","COROATÁ","MA","10/2022","2372","265664","112,00","8966","2187","92,2"
"210360","COROATÁ","MA","12/2022","2326","260512","112,00","8754","2147","92,3"
"210360","COROATÁ","MA","02/2023","2313","259056","112,00","8692","2137","92,4"
"210360","COROATÁ","MA","04/2023","2275","250250","110,00","8575","2108","92,7"
"210360","COROATÁ","MA","06/2023","2261","246449","109,00","8504","2111","93,4"
"210360","COROATÁ","MA","08/2023","2206","238248,00","108,00","8371","2068","93,7"
"210360","COROATÁ","MA","10/2023","2177","230762","106,00","8328","2044","93,9"
"210360","COROATÁ","MA","12/2023","2144","222976","104,00","8223","2019","94,2"
"210360","COROATÁ","MA","02/2024","2141","218382,00","102,00","8197","2020","94,3"
"210360","COROATÁ","MA","04/2024","2129","217158","102,00","8162","2013","94,6"
"210360","COROATÁ","MA","06/2024","2125","216750","102,00","8138","2009","94,5"
"210360","COROATÁ","MA","08/2024","2115","215730","102,00","8038","1994","94,3"
"210360","COROATÁ","MA","10/2024","2096","217984","104,00","7926","1978","94,4"
"210360","COROATÁ","MA","12/2024","2086","216944","104,00","7926","1978","94,8"
"210360","COROATÁ","MA","02/2025","2070","219420","106,00","7815","1951","94,3"
"210360","COROATÁ","MA","04/2025","2056","222048","108,00","7750","1940","94,4"
"210360","COROATÁ","MA","06/2025","2056","222048","108,00","7750","1940","94,4"
"210360","COROATÁ","MA","08/2025","2001","216108","108,00","7456","1888","94,4"
"210360","COROATÁ","MA","10/2025","1980","213840","108,00","7375","1868","94,3"
"210370","CURURUPU","MA","12/2021","3543","184236","52,00","11359","3063","86,5"
"210370","CURURUPU","MA","02/2022","3538","176900","50,00","11291","3058","86,4"
"210370","CURURUPU","MA","04/2022","3499","178449","51,00","11028","3025","86,5"
"210370","CURURUPU","MA","06/2022","3496","185288","53,00","10829","3021","86,4"
"210370","CURURUPU","MA","08/2022","3479","382690","110,00","10684","3004","86,3"
"210370","CURURUPU","MA","10/2022","3506","392672","112,00","10672","3024","86,3"
"210370","CURURUPU","MA","12/2022","3464","387968","112,00","10502","2988","86,3"
"210370","CURURUPU","MA","02/2023","3452","386624","112,00","10434","2976","86,2"
"210370","CURURUPU","MA","04/2023","3363","369930","110,00","10225","2908","86,5"
"210370","CURURUPU","MA","06/2023","3343","364387","109,00","10145","2889","86,4"
"210370","CURURUPU","MA","08/2023","3317","358236,00","108,00","10136","2873","86,6"
"210370","CURURUPU","MA","10/2023","3251","344606","106,00","9974","2819","86,7"
"210370","CURURUPU","MA","12/2023","3231","336024","104,00","9910","2802","86,7"
"210370","CURURUPU","MA","02/2024","3227","329154,00","102,00","9879","2801","86,8"
"210370","CURURUPU","MA","04/2024","3239","330378","102,00","9881","2811","86,8"
"210370","CURURUPU","MA","06/2024","3228","329256","102,00","9815","2801","86,8"
"210370","CURURUPU","MA","08/2024","3159","322218","102,00","9565","2737","86,6"
"210370","CURURUPU","MA","10/2024","3072","319488","104,00","9284","2664","86,7"
"210370","CURURUPU","MA","12/2024","3035","315640","104,00","9284","2664","87,8"
"210370","CURURUPU","MA","02/2025","3004","318424","106,00","9131","2617","87,1"
"210370","CURURUPU","MA","04/2025","2999","323892","108,00","9108","2616","87,2"
"210370","CURURUPU","MA","06/2025","2956","319248","108,00","9058","2595","87,8"
"210370","CURURUPU","MA","08/2025","2894","312552","108,00","8856","2551","88,1"
"210370","CURURUPU","MA","10/2025","2860","308880","108,00","8730","2516","88,0"
"210375","DAVINÓPOLIS","MA","12/2021","15","780","52,00","50","13","86,7"
"210375","DAVINÓPOLIS","MA","02/2022","17","850","50,00","47","13","76,5"
"210375","DAVINÓPOLIS","MA","04/2022","17","867","51,00","52","15","88,2"
"210375","DAVINÓPOLIS","MA","06/2022","22","1166","53,00","70","20","90,9"
"210375","DAVINÓPOLIS","MA","08/2022","23","2530","110,00","74","21","91,3"
"210375","DAVINÓPOLIS","MA","10/2022","27","3024","112,00","84","24","88,9"
"210375","DAVINÓPOLIS","MA","12/2022","25","2800","112,00","75","22","88,0"
"210375","DAVINÓPOLIS","MA","02/2023","27","3024","112,00","84","24","88,9"
"210375","DAVINÓPOLIS","MA","04/2023","28","3080","110,00","88","25","89,3"
"210375","DAVINÓPOLIS","MA","06/2023","30","3270","109,00","101","28","93,3"
"210375","DAVINÓPOLIS","MA","08/2023","31","3348,00","108,00","104","29","93,5"
"210375","DAVINÓPOLIS","MA","10/2023","29","3074","106,00","107","27","93,1"
"210375","DAVINÓPOLIS","MA","12/2023","31","3224","104,00","117","29","93,5"
"210375","DAVINÓPOLIS","MA","02/2024","34","3468,00","102,00","125","32","94,1"
"210375","DAVINÓPOLIS","MA","04/2024","34","3468","102,00","124","32","94,1"
"210375","DAVINÓPOLIS","MA","06/2024","38","3876","102,00","136","36","94,7"
"210375","DAVINÓPOLIS","MA","08/2024","37","3774","102,00","130","35","94,6"
"210375","DAVINÓPOLIS","MA","10/2024","39","4056","104,00","132","37","94,9"
"210375","DAVINÓPOLIS","MA","12/2024","39","4056","104,00","132","37","94,9"
"210375","DAVINÓPOLIS","MA","02/2025","41","4346","106,00","141","39","95,1"
"210375","DAVINÓPOLIS","MA","04/2025","42","4536","108,00","144","40","95,2"
"210375","DAVINÓPOLIS","MA","06/2025","42","4536","108,00","144","40","95,2"
"210375","DAVINÓPOLIS","MA","08/2025","42","4536","108,00","148","40","95,2"
"210375","DAVINÓPOLIS","MA","10/2025","42","4536","108,00","149","40","95,2"
"210380","DOM PEDRO","MA","12/2021","1012","52624","52,00","2859","951","94,0"
"210380","DOM PEDRO","MA","02/2022","1013","50650","50,00","2857","950","93,8"
"210380","DOM PEDRO","MA","04/2022","993","50643","51,00","2814","936","94,3"
"210380","DOM PEDRO","MA","06/2022","1008","53424","53,00","2844","952","94,4"
"210380","DOM PEDRO","MA","08/2022","1009","110990","110,00","2842","953","94,4"
"210380","DOM PEDRO","MA","10/2022","1023","114576","112,00","2888","964","94,2"
"210380","DOM PEDRO","MA","12/2022","1002","112224","112,00","2827","946","94,4"
"210380","DOM PEDRO","MA","02/2023","999","111888","112,00","2818","942","94,3"
"210380","DOM PEDRO","MA","04/2023","971","106810","110,00","2752","916","94,3"
"210380","DOM PEDRO","MA","06/2023","966","105294","109,00","2752","912","94,4"
"210380","DOM PEDRO","MA","08/2023","940","101520,00","108,00","2725","890","94,7"
"210380","DOM PEDRO","MA","10/2023","921","97626","106,00","2696","874","94,9"
"210380","DOM PEDRO","MA","12/2023","899","93496","104,00","2665","853","94,9"
"210380","DOM PEDRO","MA","02/2024","887","90474,00","102,00","2636","843","95,0"
"210380","DOM PEDRO","MA","04/2024","888","90576","102,00","2638","842","94,8"
"210380","DOM PEDRO","MA","06/2024","881","89862","102,00","2632","838","95,1"
"210380","DOM PEDRO","MA","08/2024","852","86904","102,00","2548","810","95,1"
"210380","DOM PEDRO","MA","10/2024","829","86216","104,00","2487","788","95,1"
"210380","DOM PEDRO","MA","12/2024","826","85904","104,00","2487","788","95,4"
"210380","DOM PEDRO","MA","02/2025","822","87132","106,00","2479","784","95,4"
"210380","DOM PEDRO","MA","04/2025","817","88236","108,00","2464","779","95,3"
"210380","DOM PEDRO","MA","06/2025","817","88236","108,00","2464","779","95,3"
"210380","DOM PEDRO","MA","08/2025","788","85104","108,00","2371","759","96,3"
"210380","DOM PEDRO","MA","10/2025","773","83484","108,00","2326","744","96,2"
"210390","DUQUE BACELAR","MA","12/2021","1266","65832","52,00","4958","1147","90,6"
"210390","DUQUE BACELAR","MA","02/2022","1269","63450","50,00","4943","1147","90,4"
"210390","DUQUE BACELAR","MA","04/2022","1244","63444","51,00","4785","1130","90,8"
"210390","DUQUE BACELAR","MA","06/2022","1267","67151","53,00","4746","1152","90,9"
"210390","DUQUE BACELAR","MA","08/2022","1267","139370","110,00","4711","1150","90,8"
"210390","DUQUE BACELAR","MA","10/2022","1283","143696","112,00","4666","1160","90,4"
"210390","DUQUE BACELAR","MA","12/2022","1286","144032","112,00","4590","1159","90,1"
"210390","DUQUE BACELAR","MA","02/2023","1288","144256","112,00","4534","1162","90,2"
"210390","DUQUE BACELAR","MA","04/2023","1253","137830","110,00","4367","1130","90,2"
"210390","DUQUE BACELAR","MA","06/2023","1251","136359","109,00","4283","1127","90,1"
"210390","DUQUE BACELAR","MA","08/2023","1244","134352,00","108,00","4285","1118","89,9"
"210390","DUQUE BACELAR","MA","10/2023","1241","131546","106,00","4232","1115","89,8"
"210390","DUQUE BACELAR","MA","12/2023","1230","127920","104,00","4168","1106","89,9"
"210390","DUQUE BACELAR","MA","02/2024","1253","127806,00","102,00","4216","1126","89,9"
"210390","DUQUE BACELAR","MA","04/2024","1267","129234","102,00","4210","1131","89,3"
"210390","DUQUE BACELAR","MA","06/2024","1245","126990","102,00","4118","1111","89,2"
"210390","DUQUE BACELAR","MA","08/2024","1236","126072","102,00","4070","1106","89,5"
"210390","DUQUE BACELAR","MA","10/2024","1226","127504","104,00","4025","1097","89,5"
"210390","DUQUE BACELAR","MA","12/2024","1213","126152","104,00","4025","1097","90,4"
"210390","DUQUE BACELAR","MA","02/2025","1214","128684","106,00","3965","1086","89,5"
"210390","DUQUE BACELAR","MA","04/2025","1211","130788","108,00","3948","1081","89,3"
"210390","DUQUE BACELAR","MA","06/2025","1211","130788","108,00","3948","1081","89,3"
"210390","DUQUE BACELAR","MA","08/2025","1192","128736","108,00","3867","1079","90,5"
"210390","DUQUE BACELAR","MA","10/2025","1181","127548","108,00","3809","1070","90,6"
"210400","ESPERANTINÓPOLIS","MA","12/2021","1748","90896","52,00","6142","1577","90,2"
"210400","ESPERANTINÓPOLIS","MA","02/2022","1748","87400","50,00","6130","1575","90,1"
"210400","ESPERANTINÓPOLIS","MA","04/2022","1709","87159","51,00","5945","1542","90,2"
"210400","ESPERANTINÓPOLIS","MA","06/2022","1697","89941","53,00","5819","1530","90,2"
"210400","ESPERANTINÓPOLIS","MA","08/2022","1691","186010","110,00","5708","1524","90,1"
"210400","ESPERANTINÓPOLIS","MA","10/2022","1695","189840","112,00","5632","1528","90,1"
"210400","ESPERANTINÓPOLIS","MA","12/2022","1659","185808","112,00","5498","1495","90,1"
"210400","ESPERANTINÓPOLIS","MA","02/2023","1649","184688","112,00","5459","1485","90,1"
"210400","ESPERANTINÓPOLIS","MA","04/2023","1593","175230","110,00","5242","1433","90,0"
"210400","ESPERANTINÓPOLIS","MA","06/2023","1581","172329","109,00","5174","1424","90,1"
"210400","ESPERANTINÓPOLIS","MA","08/2023","1538","166104,00","108,00","5044","1388","90,2"
"210400","ESPERANTINÓPOLIS","MA","10/2023","1504","159424","106,00","4924","1360","90,4"
"210400","ESPERANTINÓPOLIS","MA","12/2023","1469","152776","104,00","4855","1336","90,9"
"210400","ESPERANTINÓPOLIS","MA","02/2024","1427","145554,00","102,00","4715","1302","91,2"
"210400","ESPERANTINÓPOLIS","MA","04/2024","1413","144126","102,00","4642","1289","91,2"
"210400","ESPERANTINÓPOLIS","MA","06/2024","1391","141882","102,00","4557","1275","91,7"
"210400","ESPERANTINÓPOLIS","MA","08/2024","1342","136884","102,00","4425","1230","91,7"
"210400","ESPERANTINÓPOLIS","MA","10/2024","1310","136240","104,00","4324","1196","91,3"
"210400","ESPERANTINÓPOLIS","MA","12/2024","1302","135408","104,00","4324","1196","91,9"
"210400","ESPERANTINÓPOLIS","MA","02/2025","1298","137588","106,00","4293","1185","91,3"
"210400","ESPERANTINÓPOLIS","MA","04/2025","1286","138888","108,00","4265","1176","91,4"
"210400","ESPERANTINÓPOLIS","MA","06/2025","1286","138888","108,00","4265","1176","91,4"
"210400","ESPERANTINÓPOLIS","MA","08/2025","1246","134568","108,00","4161","1147","92,1"
"210400","ESPERANTINÓPOLIS","MA","10/2025","1241","134028","108,00","4146","1142","92,0"
"210405","ESTREITO","MA","12/2021","117","6084","52,00","387","111","94,9"
"210405","ESTREITO","MA","02/2022","122","6100","50,00","386","111","91,0"
"210405","ESTREITO","MA","04/2022","125","6375","51,00","416","119","95,2"
"210405","ESTREITO","MA","06/2022","138","7314","53,00","463","131","94,9"
"210405","ESTREITO","MA","08/2022","143","15730","110,00","476","135","94,4"
"210405","ESTREITO","MA","10/2022","156","17472","112,00","518","147","94,2"
"210405","ESTREITO","MA","12/2022","157","17584","112,00","520","147","93,6"
"210405","ESTREITO","MA","02/2023","158","17696","112,00","522","148","93,7"
"210405","ESTREITO","MA","04/2023","152","16720","110,00","505","143","94,1"
"210405","ESTREITO","MA","06/2023","158","17222","109,00","530","149","94,3"
"210405","ESTREITO","MA","08/2023","158","17064,00","108,00","538","148","93,7"
"210405","ESTREITO","MA","10/2023","154","16324","106,00","522","144","93,5"
"210405","ESTREITO","MA","12/2023","151","15704","104,00","517","141","93,4"
"210405","ESTREITO","MA","02/2024","147","14994,00","102,00","493","137","93,2"
"210405","ESTREITO","MA","04/2024","149","15198","102,00","495","138","92,6"
"210405","ESTREITO","MA","06/2024","149","15198","102,00","500","139","93,3"
"210405","ESTREITO","MA","08/2024","147","14994","102,00","496","137","93,2"
"210405","ESTREITO","MA","10/2024","148","15392","104,00","495","137","92,6"
"210405","ESTREITO","MA","12/2024","146","15184","104,00","495","137","93,8"
"210405","ESTREITO","MA","02/2025","146","15476","106,00","484","135","92,5"
"210405","ESTREITO","MA","04/2025","146","15768","108,00","480","135","92,5"
"210405","ESTREITO","MA","06/2025","146","15768","108,00","480","135","92,5"
"210405","ESTREITO","MA","08/2025","138","14904","108,00","454","128","92,8"
"210405","ESTREITO","MA","10/2025","136","14688","108,00","438","127","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","12/2021","390","20280","52,00","1581","362","92,8"
"210407","FEIRA NOVA DO MARANHÃO","MA","02/2022","388","19400","50,00","1577","362","93,3"
"210407","FEIRA NOVA DO MARANHÃO","MA","04/2022","382","19482","51,00","1550","356","93,2"
"210407","FEIRA NOVA DO MARANHÃO","MA","06/2022","379","20087","53,00","1513","353","93,1"
"210407","FEIRA NOVA DO MARANHÃO","MA","08/2022","377","41470","110,00","1493","352","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","10/2022","374","41888","112,00","1480","350","93,6"
"210407","FEIRA NOVA DO MARANHÃO","MA","12/2022","372","41664","112,00","1460","348","93,5"
"210407","FEIRA NOVA DO MARANHÃO","MA","02/2023","368","41216","112,00","1439","344","93,5"
"210407","FEIRA NOVA DO MARANHÃO","MA","04/2023","362","39820","110,00","1409","338","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","06/2023","358","39022","109,00","1390","334","93,3"
"210407","FEIRA NOVA DO MARANHÃO","MA","08/2023","355","38340,00","108,00","1372","332","93,5"
"210407","FEIRA NOVA DO MARANHÃO","MA","10/2023","343","36358","106,00","1334","320","93,3"
"210407","FEIRA NOVA DO MARANHÃO","MA","12/2023","346","35984","104,00","1343","322","93,1"
"210407","FEIRA NOVA DO MARANHÃO","MA","02/2024","332","33864,00","102,00","1295","310","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","04/2024","330","33660","102,00","1287","308","93,3"
"210407","FEIRA NOVA DO MARANHÃO","MA","06/2024","318","32436","102,00","1242","296","93,1"
"210407","FEIRA NOVA DO MARANHÃO","MA","08/2024","311","31722","102,00","1213","290","93,2"
"210407","FEIRA NOVA DO MARANHÃO","MA","10/2024","306","31824","104,00","1200","286","93,5"
"210407","FEIRA NOVA DO MARANHÃO","MA","12/2024","303","31512","104,00","1200","286","94,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","02/2025","302","32012","106,00","1192","282","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","04/2025","304","32832","108,00","1196","284","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","06/2025","304","32832","108,00","1196","284","93,4"
"210407","FEIRA NOVA DO MARANHÃO","MA","08/2025","296","31968","108,00","1165","281","94,9"
"210407","FEIRA NOVA DO MARANHÃO","MA","10/2025","288","31104","108,00","1132","274","95,1"
"210408","FERNANDO FALCÃO","MA","12/2021","362","18824","52,00","1788","343","94,8"
"210408","FERNANDO FALCÃO","MA","02/2022","361","18050","50,00","1790","343","95,0"
"210408","FERNANDO FALCÃO","MA","04/2022","361","18411","51,00","1789","344","95,3"
"210408","FERNANDO FALCÃO","MA","06/2022","364","19292","53,00","1792","346","95,1"
"210408","FERNANDO FALCÃO","MA","08/2022","364","40040","110,00","1778","346","95,1"
"210408","FERNANDO FALCÃO","MA","10/2022","383","42896","112,00","1840","365","95,3"
"210408","FERNANDO FALCÃO","MA","12/2022","386","43232","112,00","1833","367","95,1"
"210408","FERNANDO FALCÃO","MA","02/2023","388","43456","112,00","1840","368","94,8"
"210408","FERNANDO FALCÃO","MA","04/2023","382","42020","110,00","1812","364","95,3"
"210408","FERNANDO FALCÃO","MA","06/2023","386","42074","109,00","1836","367","95,1"
"210408","FERNANDO FALCÃO","MA","08/2023","397","42876,00","108,00","1887","379","95,5"
"210408","FERNANDO FALCÃO","MA","10/2023","395","41870","106,00","1887","377","95,4"
"210408","FERNANDO FALCÃO","MA","12/2023","395","41080","104,00","1886","377","95,4"
"210408","FERNANDO FALCÃO","MA","02/2024","420","42840,00","102,00","1957","399","95,0"
"210408","FERNANDO FALCÃO","MA","04/2024","436","44472","102,00","1991","413","94,7"
"210408","FERNANDO FALCÃO","MA","06/2024","440","44880","102,00","1994","416","94,5"
"210408","FERNANDO FALCÃO","MA","08/2024","434","44268","102,00","1959","407","93,8"
"210408","FERNANDO FALCÃO","MA","10/2024","430","44720","104,00","1954","403","93,7"
"210408","FERNANDO FALCÃO","MA","12/2024","430","44720","104,00","1954","403","93,7"
"210408","FERNANDO FALCÃO","MA","02/2025","431","45686","106,00","1953","405","94,0"
"210408","FERNANDO FALCÃO","MA","04/2025","430","46440","108,00","1953","405","94,2"
"210408","FERNANDO FALCÃO","MA","06/2025","430","46440","108,00","1953","405","94,2"
"210408","FERNANDO FALCÃO","MA","08/2025","420","45360","108,00","1911","394","93,8"
"210408","FERNANDO FALCÃO","MA","10/2025","415","44820","108,00","1892","391","94,2"
"210409","FORMOSA DA SERRA NEGRA","MA","12/2021","2255","117260","52,00","8517","1954","86,7"
"210409","FORMOSA DA SERRA NEGRA","MA","02/2022","2249","112450","50,00","8494","1952","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","04/2022","2223","113373","51,00","8384","1928","86,7"
"210409","FORMOSA DA SERRA NEGRA","MA","06/2022","2207","116971","53,00","8251","1916","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","08/2022","2189","240790","110,00","8149","1899","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","10/2022","2187","244944","112,00","8075","1899","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","12/2022","2164","242368","112,00","7966","1878","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","02/2023","2157","241584","112,00","7915","1871","86,7"
"210409","FORMOSA DA SERRA NEGRA","MA","04/2023","2092","230120","110,00","7680","1816","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","06/2023","2078","226502","109,00","7596","1803","86,8"
"210409","FORMOSA DA SERRA NEGRA","MA","08/2023","2041","220428,00","108,00","7492","1776","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","10/2023","2024","214544","106,00","7426","1761","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","12/2023","2001","208104","104,00","7344","1741","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","02/2024","1989","202878,00","102,00","7283","1731","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","04/2024","1978","201756","102,00","7218","1725","87,2"
"210409","FORMOSA DA SERRA NEGRA","MA","06/2024","1970","200940","102,00","7196","1719","87,3"
"210409","FORMOSA DA SERRA NEGRA","MA","08/2024","1929","196758","102,00","7079","1682","87,2"
"210409","FORMOSA DA SERRA NEGRA","MA","10/2024","1894","196976","104,00","6956","1653","87,3"
"210409","FORMOSA DA SERRA NEGRA","MA","12/2024","1886","196144","104,00","6956","1653","87,6"
"210409","FORMOSA DA SERRA NEGRA","MA","02/2025","1878","199068","106,00","6889","1637","87,2"
"210409","FORMOSA DA SERRA NEGRA","MA","04/2025","1869","201852","108,00","6824","1626","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","06/2025","1867","201636","108,00","6815","1624","87,0"
"210409","FORMOSA DA SERRA NEGRA","MA","08/2025","1829","197532","108,00","6649","1599","87,4"
"210409","FORMOSA DA SERRA NEGRA","MA","10/2025","1804","194832","108,00","6529","1577","87,4"
"210410","FORTALEZA DOS NOGUEIRAS","MA","12/2021","1039","54028","52,00","3616","985","94,8"
"210410","FORTALEZA DOS NOGUEIRAS","MA","02/2022","1045","52250","50,00","3646","989","94,6"
"210410","FORTALEZA DOS NOGUEIRAS","MA","04/2022","1021","52071","51,00","3554","969","94,9"
"210410","FORTALEZA DOS NOGUEIRAS","MA","06/2022","1247","66091","53,00","4353","1184","94,9"
"210410","FORTALEZA DOS NOGUEIRAS","MA","08/2022","1264","139040","110,00","4414","1202","95,1"
"210410","FORTALEZA DOS NOGUEIRAS","MA","10/2022","1399","156688","112,00","4809","1321","94,4"
"210410","FORTALEZA DOS NOGUEIRAS","MA","12/2022","1419","158928","112,00","4837","1338","94,3"
"210410","FORTALEZA DOS NOGUEIRAS","MA","02/2023","1418","158816","112,00","4825","1337","94,3"
"210410","FORTALEZA DOS NOGUEIRAS","MA","04/2023","1361","149710","110,00","4644","1286","94,5"
"210410","FORTALEZA DOS NOGUEIRAS","MA","06/2023","1359","148131","109,00","4624","1286","94,6"
"210410","FORTALEZA DOS NOGUEIRAS","MA","08/2023","1406","151848,00","108,00","4804","1334","94,9"
"210410","FORTALEZA DOS NOGUEIRAS","MA","10/2023","1404","148824","106,00","4807","1335","95,1"
"210410","FORTALEZA DOS NOGUEIRAS","MA","12/2023","1386","144144","104,00","4761","1322","95,4"
"210410","FORTALEZA DOS NOGUEIRAS","MA","02/2024","1460","148920,00","102,00","4981","1391","95,3"
"210410","FORTALEZA DOS NOGUEIRAS","MA","04/2024","1527","155754","102,00","5148","1439","94,2"
"210410","FORTALEZA DOS NOGUEIRAS","MA","06/2024","1526","155652","102,00","5131","1439","94,3"
"210410","FORTALEZA DOS NOGUEIRAS","MA","08/2024","1484","151368","102,00","4976","1402","94,5"
"210410","FORTALEZA DOS NOGUEIRAS","MA","10/2024","1469","152776","104,00","4927","1388","94,5"
"210410","FORTALEZA DOS NOGUEIRAS","MA","12/2024","1460","151840","104,00","4927","1388","95,1"
"210410","FORTALEZA DOS NOGUEIRAS","MA","02/2025","1452","153912","106,00","4862","1375","94,7"
"210410","FORTALEZA DOS NOGUEIRAS","MA","04/2025","1440","155520","108,00","4824","1363","94,7"
"210410","FORTALEZA DOS NOGUEIRAS","MA","06/2025","1439","155412","108,00","4823","1362","94,6"
"210410","FORTALEZA DOS NOGUEIRAS","MA","08/2025","1374","148392","108,00","4619","1311","95,4"
"210410","FORTALEZA DOS NOGUEIRAS","MA","10/2025","1355","146340","108,00","4547","1295","95,6"
"210420","FORTUNA","MA","12/2021","1062","55224","52,00","4170","1011","95,2"
"210420","FORTUNA","MA","02/2022","1062","53100","50,00","4140","1011","95,2"
"210420","FORTUNA","MA","04/2022","1036","52836","51,00","4026","986","95,2"
"210420","FORTUNA","MA","06/2022","1019","54007","53,00","3924","968","95,0"
"210420","FORTUNA","MA","08/2022","1014","111540","110,00","3887","962","94,9"
"210420","FORTUNA","MA","10/2022","1003","112336","112,00","3823","950","94,7"
"210420","FORTUNA","MA","12/2022","984","110208","112,00","3747","931","94,6"
"210420","FORTUNA","MA","02/2023","984","110208","112,00","3738","931","94,6"
"210420","FORTUNA","MA","04/2023","975","107250","110,00","3720","923","94,7"
"210420","FORTUNA","MA","06/2023","1037","113033","109,00","3907","985","95,0"
"210420","FORTUNA","MA","08/2023","1008","108864,00","108,00","3841","963","95,5"
"210420","FORTUNA","MA","10/2023","983","104198","106,00","3751","943","95,9"
"210420","FORTUNA","MA","12/2023","992","103168","104,00","3781","950","95,8"
"210420","FORTUNA","MA","02/2024","984","100368,00","102,00","3734","942","95,7"
"210420","FORTUNA","MA","04/2024","974","99348","102,00","3666","933","95,8"
"210420","FORTUNA","MA","06/2024","968","98736","102,00","3637","928","95,9"
"210420","FORTUNA","MA","08/2024","949","96798","102,00","3548","912","96,1"
"210420","FORTUNA","MA","10/2024","931","96824","104,00","3479","896","96,2"
"210420","FORTUNA","MA","12/2024","930","96720","104,00","3479","896","96,3"
"210420","FORTUNA","MA","02/2025","928","98368","106,00","3449","893","96,2"
"210420","FORTUNA","MA","04/2025","920","99360","108,00","3403","887","96,4"
"210420","FORTUNA","MA","06/2025","920","99360","108,00","3403","887","96,4"
"210420","FORTUNA","MA","08/2025","904","97632","108,00","3313","876","96,9"
"210420","FORTUNA","MA","10/2025","899","97092","108,00","3291","871","96,9"
"210430","GODOFREDO VIANA","MA","12/2021","628","32656","52,00","2220","583","92,8"
"210430","GODOFREDO VIANA","MA","02/2022","628","31400","50,00","2215","583","92,8"
"210430","GODOFREDO VIANA","MA","04/2022","614","31314","51,00","2169","573","93,3"
"210430","GODOFREDO VIANA","MA","06/2022","630","33390","53,00","2215","589","93,5"
"210430","GODOFREDO VIANA","MA","08/2022","625","68750","110,00","2197","584","93,4"
"210430","GODOFREDO VIANA","MA","10/2022","627","70224","112,00","2183","585","93,3"
"210430","GODOFREDO VIANA","MA","12/2022","630","70560","112,00","2180","590","93,7"
"210430","GODOFREDO VIANA","MA","02/2023","627","70224","112,00","2149","587","93,6"
"210430","GODOFREDO VIANA","MA","04/2023","609","66990","110,00","2078","569","93,4"
"210430","GODOFREDO VIANA","MA","06/2023","609","66381","109,00","2071","572","93,9"
"210430","GODOFREDO VIANA","MA","08/2023","608","65664,00","108,00","2085","572","94,1"
"210430","GODOFREDO VIANA","MA","10/2023","602","63812","106,00","2044","567","94,2"
"210430","GODOFREDO VIANA","MA","12/2023","596","61984","104,00","2035","561","94,1"
"210430","GODOFREDO VIANA","MA","02/2024","595","60690,00","102,00","2036","562","94,5"
"210430","GODOFREDO VIANA","MA","04/2024","596","60792","102,00","2037","563","94,5"
"210430","GODOFREDO VIANA","MA","06/2024","597","60894","102,00","2044","562","94,1"
"210430","GODOFREDO VIANA","MA","08/2024","592","60384","102,00","2020","557","94,1"
"210430","GODOFREDO VIANA","MA","10/2024","584","60736","104,00","1999","549","94,0"
"210430","GODOFREDO VIANA","MA","12/2024","574","59696","104,00","1999","549","95,6"
"210430","GODOFREDO VIANA","MA","02/2025","572","60632","106,00","1949","538","94,1"
"210430","GODOFREDO VIANA","MA","04/2025","567","61236","108,00","1935","533","94,0"
"210430","GODOFREDO VIANA","MA","06/2025","567","61236","108,00","1935","533","94,0"
"210430","GODOFREDO VIANA","MA","08/2025","549","59292","108,00","1868","521","94,9"
"210430","GODOFREDO VIANA","MA","10/2025","550","59400","108,00","1875","522","94,9"
"210440","GONÇALVES DIAS","MA","12/2021","955","49660","52,00","3813","895","93,7"
"210440","GONÇALVES DIAS","MA","02/2022","952","47600","50,00","3810","895","94,0"
